M,k,model,seed,net_loss,net_loss_std,cash,ent_total,kl_track,l1_track,incons,n_subtrades,support_size
2,2,LOPAMM,0,3.851664,5.979881,71.102341,4.255262,0.020313,0.139823,,34,3
2,2,ind,0,-0.606051,10.607328,79.370767,6.547034,0.024805,0.152580,,34,3
2,2,base,0,-0.748481,3.754618,44.112012,1.192799,0.017745,0.130616,,27,3
2,2,LOPAMM,1,5.642947,8.253767,72.289908,5.406837,0.025017,0.157950,,32,3
2,2,ind,1,4.361441,10.957386,82.104187,4.662803,0.034213,0.173640,,32,3
2,2,base,1,1.069170,5.559371,41.301555,1.096556,0.018630,0.139926,,26,3
2,2,LOPAMM,2,3.271120,7.618836,74.647067,6.757684,0.016876,0.127699,,38,3
2,2,ind,2,6.936471,15.198479,79.893083,6.757684,0.021268,0.144604,,38,3
2,2,base,2,3.447528,7.614841,37.621299,3.352237,0.008927,0.096721,,29,3
2,2,LOPAMM,3,2.488646,4.770327,81.229907,2.091372,0.023045,0.138426,,32,3
2,2,ind,3,2.275834,8.546679,100.396850,2.091372,0.044282,0.177815,,32,3
2,2,base,3,0.989610,4.151101,54.127486,0.864696,0.019911,0.135296,,26,3
2,2,LOPAMM,4,1.087950,4.089156,58.521980,1.319456,0.013555,0.106311,,44,3
2,2,ind,4,1.120789,5.294923,58.786419,1.319456,0.015588,0.113485,,44,3
2,2,base,4,0.216579,2.061596,26.205158,0.287790,0.009753,0.078489,,32,3
2,2,LOPAMM,5,3.406936,4.932180,84.224761,3.537190,0.021668,0.145825,,38,3
2,2,ind,5,3.615578,6.255320,85.597006,3.537190,0.029347,0.172316,,38,3
2,2,base,5,0.638492,3.065928,49.126113,0.538949,0.023422,0.149691,,29,3
2,2,LOPAMM,6,0.953510,4.163733,57.329833,1.637536,0.018494,0.135856,,34,3
2,2,ind,6,1.460457,6.630976,62.493102,1.637536,0.022912,0.149365,,34,3
2,2,base,6,0.493162,3.099231,38.093675,0.558427,0.017802,0.126488,,27,3
2,2,LOPAMM,7,3.701493,7.378047,50.204333,6.043855,0.010473,0.101584,,32,3
2,2,ind,7,6.311022,14.261965,62.924828,6.043855,0.015786,0.122955,,32,3
2,2,base,7,2.818203,7.356333,36.000976,2.656529,0.010440,0.101064,,26,3
2,2,LOPAMM,8,5.928756,5.662383,70.618359,10.853989,0.025219,0.166079,,28,3
2,2,ind,8,7.803462,6.578794,89.454099,5.792653,0.039618,0.195488,,28,3
2,2,base,8,5.600878,5.619768,55.024082,5.419251,0.021442,0.148251,,24,3
2,2,LOPAMM,9,0.752721,3.382777,51.367310,0.663171,0.026435,0.165322,,26,3
2,2,ind,9,0.817678,3.774737,56.869121,0.638437,0.031090,0.181866,,26,3
2,2,base,9,0.107620,1.150666,43.520041,0.053497,0.025098,0.162047,,23,3
2,2,LOPAMM,10,5.200184,4.659162,84.895829,8.234392,0.026071,0.152579,,32,3
2,2,ind,10,8.006127,13.479929,109.856325,9.968380,0.033216,0.163791,,32,3
2,2,base,10,4.409943,6.398898,51.587864,4.226990,0.018882,0.118319,,26,3
2,2,LOPAMM,11,9.235556,9.637911,114.724043,17.807089,0.020573,0.134965,,40,3
2,2,ind,11,17.274828,19.420439,143.075494,17.807089,0.033110,0.173553,,40,3
2,2,base,11,8.614485,9.813879,70.926333,8.880682,0.018969,0.131126,,30,3
2,2,LOPAMM,12,3.148641,6.748307,88.415942,8.136829,0.019158,0.132399,,34,3
2,2,ind,12,7.834869,13.547663,101.411898,8.136829,0.049554,0.191239,,34,3
2,2,base,12,3.892206,6.836808,59.484195,4.043413,0.019641,0.134631,,27,3
2,2,LOPAMM,13,6.047686,7.303265,71.103334,8.351409,0.016483,0.109488,,38,3
2,2,ind,13,7.227654,18.117387,84.736649,9.947937,0.024007,0.134904,,38,3
2,2,base,13,3.020642,9.483405,39.958638,3.898745,0.015241,0.103744,,29,3
2,2,LOPAMM,14,4.400888,5.840577,68.189634,3.607868,0.031161,0.155313,,34,3
2,2,ind,14,3.826243,8.890296,75.088800,3.607868,0.037074,0.169706,,34,3
2,2,base,14,0.928509,4.372155,39.841368,0.841665,0.024283,0.138364,,27,3
2,2,LOPAMM,15,1.814924,4.693996,61.418422,3.121334,0.019211,0.145236,,30,3
2,2,ind,15,3.035336,8.477849,66.088230,2.737300,0.032548,0.173821,,30,3
2,2,base,15,1.485445,4.874778,40.601606,1.556309,0.015840,0.135668,,25,3
2,2,LOPAMM,16,6.808805,6.615640,132.954774,12.513044,0.027540,0.145723,,34,3
2,2,ind,16,12.354614,12.827737,140.439870,11.638790,0.061213,0.219510,,34,3
2,2,base,16,6.070729,7.501875,84.765389,6.081175,0.028085,0.155274,,27,3
2,2,LOPAMM,17,8.659587,8.434408,107.901937,17.248660,0.015473,0.095387,,36,3
2,2,ind,17,17.441854,17.171297,136.815053,17.248660,0.031364,0.134514,,36,3
2,2,base,17,8.671387,8.802573,77.220546,8.573166,0.017427,0.106138,,28,3
2,2,LOPAMM,18,16.805540,9.586534,94.880103,13.639402,0.042483,0.178072,,36,3
2,2,ind,18,14.569311,16.649299,118.412045,11.675445,0.061831,0.210073,,36,3
2,2,base,18,6.361463,10.047512,62.523723,5.038997,0.035525,0.164208,,28,3
2,2,LOPAMM,19,4.466156,6.716287,69.050012,8.523441,0.017186,0.115470,,32,3
2,2,ind,19,8.300441,13.570649,84.683551,8.523441,0.027232,0.147527,,32,3
2,2,base,19,4.063200,6.986878,42.009596,4.167501,0.015167,0.106075,,26,3
2,2,LOPAMM,20,7.575830,7.461286,88.387872,15.590614,0.015913,0.102546,,32,3
2,2,ind,20,14.346032,11.150377,110.790175,13.208701,0.023393,0.130810,,32,3
2,2,base,20,7.468066,7.353189,64.826275,7.623481,0.016290,0.103015,,26,3
2,2,LOPAMM,21,2.585886,6.101048,57.807186,5.599072,0.016069,0.122087,,36,3
2,2,ind,21,3.963901,9.297880,64.311368,4.180367,0.021602,0.133610,,36,3
2,2,base,21,2.235642,6.444398,33.987791,2.864127,0.012679,0.099548,,28,3
2,2,LOPAMM,22,2.229020,5.790646,79.083265,2.754601,0.027307,0.184908,,26,3
2,2,ind,22,2.571038,6.775140,86.941702,2.754601,0.034342,0.198436,,26,3
2,2,base,22,0.194484,2.450721,56.041093,0.265747,0.026546,0.183646,,23,3
2,2,LOPAMM,23,7.477328,9.585211,89.240992,13.665220,0.025371,0.161952,,34,3
2,2,ind,23,14.035145,19.922376,110.408785,13.665220,0.039612,0.196296,,34,3
2,2,base,23,6.696693,10.639512,60.900040,6.550688,0.022937,0.156847,,27,3
2,2,LOPAMM,24,2.388454,5.701993,106.501308,3.307051,0.020733,0.147581,,42,3
2,2,ind,24,2.998562,7.006396,100.438568,3.307051,0.030258,0.178277,,42,3
2,2,base,24,0.391084,2.956181,50.450515,0.483462,0.017753,0.138507,,31,3
2,2,LOPAMM,25,6.426592,9.602388,84.051054,12.885593,0.027488,0.167914,,30,3
2,2,ind,25,12.774851,19.280641,106.923946,12.885593,0.048260,0.212253,,30,3
2,2,base,25,6.349396,9.729740,61.697682,6.399071,0.024330,0.156287,,25,3
2,2,LOPAMM,26,1.686564,4.447356,90.445317,2.203146,0.020122,0.145088,,44,3
2,2,ind,26,2.251588,6.342574,84.934556,2.234945,0.026421,0.169883,,44,3
2,2,base,26,0.745135,2.687799,42.527687,0.545890,0.015723,0.122296,,32,3
2,2,LOPAMM,27,5.856583,9.494270,80.481392,12.134615,0.020356,0.135573,,34,3
2,2,ind,27,12.555599,20.375091,96.558136,12.767970,0.030712,0.162728,,34,3
2,2,base,27,6.016853,10.395166,55.157190,5.765658,0.017606,0.127608,,27,3
2,2,LOPAMM,28,0.711251,3.300889,43.054963,0.723255,0.022983,0.170076,,24,3
2,2,ind,28,-0.278167,2.131892,48.828511,0.669106,0.026352,0.179449,,24,3
2,2,base,28,0.233349,2.104791,39.052160,0.197060,0.023785,0.171745,,22,3
2,2,LOPAMM,29,8.372877,7.888162,74.036663,16.808752,0.017159,0.125981,,28,3
2,2,ind,29,13.556288,10.060283,79.441253,10.241347,0.023150,0.144287,,28,3
2,2,base,29,8.506036,8.110819,59.159112,8.503339,0.015057,0.119479,,24,3
2,2,LOPAMM,30,6.012959,8.884539,82.569467,11.624473,0.016058,0.100200,,30,3
2,2,ind,30,10.977051,22.110727,113.113959,14.075347,0.037122,0.141407,,30,3
2,2,base,30,5.413147,10.606927,64.062563,5.903225,0.018367,0.113421,,25,3
2,2,LOPAMM,31,7.337132,6.852096,78.866609,7.720278,0.016868,0.126825,,36,3
2,2,ind,31,7.752128,12.311685,84.463112,7.720278,0.019831,0.133801,,36,3
2,2,base,31,1.381427,6.996010,35.009711,1.364992,0.011883,0.107766,,28,3
2,2,LOPAMM,32,2.051216,5.178865,60.354176,2.656462,0.021198,0.148197,,30,3
2,2,ind,32,0.864313,7.364552,69.369856,3.266689,0.030897,0.173846,,30,3
2,2,base,32,0.452608,2.493742,43.752203,0.603401,0.023572,0.159301,,25,3
2,2,LOPAMM,33,4.424539,7.543726,70.269606,6.149498,0.026186,0.161086,,30,3
2,2,ind,33,5.655557,11.357006,86.245092,4.679892,0.039891,0.198018,,30,3
2,2,base,33,2.646116,6.815469,48.585240,2.552518,0.023053,0.153504,,25,3
2,2,LOPAMM,34,3.956508,7.404775,70.145283,7.352834,0.033790,0.199732,,26,3
2,2,ind,34,3.245229,8.168059,68.500657,4.620271,0.040598,0.215923,,26,3
2,2,base,34,3.894280,7.402502,57.203434,3.675584,0.031175,0.191551,,23,3
2,2,LOPAMM,35,6.621046,7.638170,83.388054,11.490666,0.018614,0.132942,,34,3
2,2,ind,35,11.773955,15.268773,99.413344,11.490666,0.034974,0.186741,,34,3
2,2,base,35,5.888200,7.630979,55.272192,5.745061,0.017499,0.132749,,27,3
2,2,LOPAMM,36,6.055803,8.477225,110.348507,8.082681,0.022920,0.141782,,42,3
2,2,ind,36,7.503756,16.922933,114.016453,8.082681,0.031861,0.169946,,42,3
2,2,base,36,3.694366,8.545141,58.100749,3.966253,0.020536,0.135589,,31,3
2,2,LOPAMM,37,12.522083,9.243045,79.180956,13.194190,0.038338,0.192045,,28,3
2,2,ind,37,13.350919,17.577099,92.453186,11.864194,0.051937,0.220036,,28,3
2,2,base,37,5.209475,10.983680,55.453576,4.701699,0.032707,0.181124,,24,3
2,2,LOPAMM,38,4.856457,7.430533,67.331018,9.813434,0.018977,0.140111,,32,3
2,2,ind,38,9.372960,12.841362,82.509761,7.976271,0.032588,0.181382,,32,3
2,2,base,38,4.868422,8.064515,50.830092,5.042957,0.021010,0.150347,,26,3
2,2,LOPAMM,39,6.974609,6.054939,102.206251,12.564365,0.028898,0.172959,,32,3
2,2,ind,39,12.916051,11.742280,125.198981,12.059586,0.041087,0.202031,,32,3
2,2,base,39,6.426262,6.402437,72.887885,6.210898,0.027291,0.162842,,26,3
