M,k,model,support_size,net_loss_mean,net_loss_std,net_loss_ci95,kl_track_mean,incons_mean
2,2,LOPAMM,3,5.094911,3.251289,1.007585,0.022294,
2,2,ind,3,7.403868,5.142676,1.593732,0.033374,
2,2,base,3,3.521545,2.763717,0.856485,0.020051,
3,2,LOPAMM,6,8.413081,4.175852,1.294110,0.020063,
3,2,ind,6,13.556427,10.980630,3.402932,0.035508,
3,2,base,6,4.369241,3.915347,1.213379,0.015944,
4,2,LOPAMM,10,13.533565,6.668416,2.066563,0.018700,
4,2,ind,10,25.488780,18.187363,5.636322,0.037730,
4,2,base,10,6.614617,4.992688,1.547250,0.013080,
5,3,LOPAMM,23,23.225063,11.663847,3.614664,0.013600,
5,3,ind,23,63.933831,51.657174,16.008724,0.039752,
5,3,base,23,6.549499,6.227562,1.929941,0.008034,
6,3,LOPAMM,28,26.016407,10.038803,3.111057,0.013501,
6,3,ind,28,60.815558,40.059750,12.414645,0.038985,
6,3,base,28,6.068712,4.746592,1.470984,0.007946,
7,3,LOPAMM,32,30.975087,11.606002,3.596737,0.013624,
7,3,ind,32,76.895863,39.263405,12.167855,0.039935,
7,3,base,32,7.209401,4.533309,1.404887,0.008237,
8,3,LOPAMM,37,32.481512,10.505720,3.255756,0.012368,
8,3,ind,37,93.887137,65.325417,20.244556,0.040086,
8,3,base,37,9.101952,6.259852,1.939948,0.007593,
9,3,LOPAMM,41,38.045517,16.969207,5.258812,0.013331,
9,3,ind,41,87.779946,67.273641,20.848317,0.041450,
9,3,base,41,7.994638,6.729395,2.085461,0.007997,
10,4,LOPAMM,59,53.693609,16.569070,5.134808,0.009545,
10,4,ind,59,228.205903,166.143448,51.488388,0.049844,
10,4,base,59,9.937569,6.726141,2.084453,0.005516,
11,4,LOPAMM,65,57.575614,24.525204,7.600440,0.009821,
11,4,ind,65,240.918412,156.980921,48.648892,0.049806,
11,4,base,65,9.778821,6.033415,1.869775,0.006010,
12,4,LOPAMM,70,60.799840,20.437925,6.333779,0.009226,
12,4,ind,70,302.888290,241.786812,74.930509,0.050482,
12,4,base,70,11.609608,10.376347,3.215663,0.005445,
13,4,LOPAMM,77,64.462924,26.165013,8.108621,0.008855,
13,4,ind,77,327.691346,212.266631,65.782110,0.048561,
13,4,base,77,12.120410,8.371821,2.594454,0.005030,
14,4,LOPAMM,82,73.624951,25.341490,7.853409,0.009089,
14,4,ind,82,400.668897,319.959151,99.156368,0.055120,
14,4,base,82,16.544515,14.888793,4.614085,0.005839,
15,4,LOPAMM,88,73.330327,21.447487,6.646645,0.008525,
15,4,ind,88,412.212113,342.812619,106.238731,0.051548,
15,4,base,88,15.923788,12.646512,3.919195,0.005278,
16,4,LOPAMM,94,78.744337,24.405378,7.563305,0.009076,
16,4,ind,94,385.752377,207.522501,64.311889,0.050018,
16,4,base,94,14.585672,9.169909,2.841784,0.005342,
17,5,LOPAMM,117,90.914261,20.142122,6.242108,0.006159,
17,5,ind,117,802.931910,519.649100,161.040924,0.060466,
17,5,base,117,14.238395,9.105624,2.821862,0.003936,
18,5,LOPAMM,124,95.225233,23.263875,7.209550,0.006004,
18,5,ind,124,813.865244,439.441355,136.184287,0.059630,
18,5,base,124,15.215672,8.458663,2.621367,0.004030,
19,5,LOPAMM,130,100.013791,26.626726,8.251708,0.005816,
19,5,ind,130,904.746063,588.685981,182.435676,0.057060,
19,5,base,130,16.976396,12.591221,3.902060,0.003822,
20,5,LOPAMM,138,101.099303,28.149973,8.723767,0.005790,
20,5,ind,138,811.549661,514.379048,159.407718,0.054594,
20,5,base,138,14.996893,9.254485,2.867995,0.003834,
